lon,lat,Qm
-134.9,54,38
-134.9,54.5,38
-134.9,55,38
-134.9,55.5,38
-134.9,56,38
-134.9,56.5,38
-134.9,57,38
-134.9,57.5,38
-134.9,58,38
-134.9,58.5,38
-134.9,59,38
-134.9,59.5,38
-134.9,60,38
-134.9,60.5,38
-134.9,61,38
-134.9,61.5,43
-134.9,62,44
-134.9,62.5,45
-134.9,63,45
-134.9,63.5,50
-134.9,64,50
-134.9,64.5,50
-134.9,65,50
-134.9,65.5,50
-134.9,66,50
-134.9,66.5,50
-134.9,67,50
-134.9,67.5,50
-134.9,68,50
-134.9,68.5,50
-134.9,69,50
-134.9,69.5,50
-134.9,70,50
-134.9,70.5,50
-134.9,71,50
-134.4,53.5,38
-134.4,54,38
-134.4,54.5,38
-134.4,55,38
-134.4,55.5,38
-134.4,56,38
-134.4,56.5,38
-134.4,57,38
-134.4,57.5,38
-134.4,58,38
-134.4,58.5,38
-134.4,59,38
-134.4,59.5,38
-134.4,60,38
-134.4,60.5,38
-134.4,61,38
-134.4,61.5,43
-134.4,62,44
-134.4,62.5,44
-134.4,63,45
-134.4,63.5,50
-134.4,64,50
-134.4,64.5,50
-134.4,65,50
-134.4,65.5,50
-134.4,66,50
-134.4,66.5,50
-134.4,67,50
-134.4,67.5,50
-134.4,68,50
-134.4,68.5,50
-134.4,69,50
-134.4,69.5,50
-134.4,70,50
-134.4,70.5,50
-134.4,71,50
-133.9,53,38
-133.9,53.5,38
-133.9,54,38
-133.9,54.5,38
-133.9,55,38
-133.9,55.5,38
-133.9,56,38
-133.9,56.5,38
-133.9,57,38
-133.9,57.5,38
-133.9,58,38
-133.9,58.5,38
-133.9,59,38
-133.9,59.5,38
-133.9,60,38
-133.9,60.5,38
-133.9,61,38
-133.9,61.5,43
-133.9,62,43
-133.9,62.5,44
-133.9,63,45
-133.9,63.5,50
-133.9,64,50
-133.9,64.5,50
-133.9,65,50
-133.9,65.5,50
-133.9,66,50
-133.9,66.5,50
-133.9,67,50
-133.9,67.5,50
-133.9,68,50
-133.9,68.5,50
-133.9,69,50
-133.9,69.5,50
-133.9,70,50
-133.9,70.5,50
-133.9,71,50
-133.4,52.5,38
-133.4,53,38
-133.4,53.5,38
-133.4,54,38
-133.4,54.5,38
-133.4,55,38
-133.4,55.5,38
-133.4,56,38
-133.4,56.5,38
-133.4,57,38
-133.4,57.5,38
-133.4,58,38
-133.4,58.5,38
-133.4,59,38
-133.4,59.5,38
-133.4,60,38
-133.4,60.5,38
-133.4,61,38
-133.4,61.5,43
-133.4,62,43
-133.4,62.5,44
-133.4,63,45
-133.4,63.5,46
-133.4,64,50
-133.4,64.5,50
-133.4,65,50
-133.4,65.5,50
-133.4,66,50
-133.4,66.5,50
-133.4,67,50
-133.4,67.5,50
-133.4,68,50
-133.4,68.5,50
-133.4,69,50
-133.4,69.5,50
-133.4,70,50
-133.4,70.5,50
-132.9,52,38
-132.9,52.5,38
-132.9,53,38
-132.9,53.5,38
-132.9,54,38
-132.9,54.5,38
-132.9,55,38
-132.9,55.5,38
-132.9,56,38
-132.9,56.5,38
-132.9,57,38
-132.9,57.5,38
-132.9,58,38
-132.9,58.5,38
-132.9,59,38
-132.9,59.5,38
-132.9,60,38
-132.9,60.5,38
-132.9,61,38
-132.9,61.5,38
-132.9,62,43
-132.9,62.5,44
-132.9,63,45
-132.9,63.5,50
-132.9,64,50
-132.9,64.5,50
-132.9,65,50
-132.9,65.5,50
-132.9,66,50
-132.9,66.5,50
-132.9,67,50
-132.9,67.5,50
-132.9,68,50
-132.9,68.5,50
-132.9,69,50
-132.9,69.5,50
-132.9,70,50
-132.9,70.5,50
-132.4,52,38
-132.4,52.5,38
-132.4,53,38
-132.4,53.5,38
-132.4,54,38
-132.4,54.5,38
-132.4,55,38
-132.4,55.5,38
-132.4,56,38
-132.4,56.5,38
-132.4,57,38
-132.4,57.5,38
-132.4,58,38
-132.4,58.5,38
-132.4,59,38
-132.4,59.5,38
-132.4,60,38
-132.4,60.5,38
-132.4,61,38
-132.4,61.5,38
-132.4,62,45
-132.4,62.5,46
-132.4,63,47
-132.4,63.5,50
-132.4,64,50
-132.4,64.5,50
-132.4,65,50
-132.4,65.5,50
-132.4,66,50
-132.4,66.5,50
